COUNTRY,YEAR,VALUE
Austria,2014,117611
Austria,2015,118213
Austria,2016,115742
Austria,2017,109997
Austria,2018,104133
Austria,2019,95599
Austria,2020,72475
Austria,2021,71610
Austria,2022,67619
Belgium,2014,88286
Belgium,2015,91043
Belgium,2016,89347
Belgium,2017,84251
Belgium,2018,81231
Belgium,2019,81038
Belgium,2020,61849
Belgium,2021,72742
Belgium,2022,66077
Bulgaria,2014,96297
Bulgaria,2015,97265
Bulgaria,2016,90898
Bulgaria,2017,82328
Bulgaria,2018,73973
Bulgaria,2019,69140
Bulgaria,2020,62220
Bulgaria,2021,65292
Bulgaria,2022,54718
Croatia,2014,42197
Croatia,2015,41911
Croatia,2016,42592
Croatia,2017,39716
Croatia,2018,34136
Croatia,2019,30656
Croatia,2020,29109
Croatia,2021,25676
Croatia,2022,23907
Cyprus,2014,6581
Cyprus,2015,6541
Cyprus,2016,7082
Cyprus,2017,7197
Cyprus,2018,7202
Cyprus,2019,7155
Cyprus,2020,6476
Cyprus,2021,7082
Cyprus,2022,7097
Czechia,2014,126755
Czechia,2015,122367
Czechia,2016,118812
Czechia,2017,114084
Czechia,2018,117758
Czechia,2019,95963
Czechia,2020,85661
Czechia,2021,90053
Czechia,2022,81861
Denmark,2014,86159
Denmark,2015,82866
Denmark,2016,76218
Denmark,2017,73341
Denmark,2018,68115
Denmark,2019,63793
Denmark,2020,55008
Denmark,2021,55241
Denmark,2022,48760
Estonia,2014,15404
Estonia,2015,15546
Estonia,2016,15817
Estonia,2017,14516
Estonia,2018,13914
Estonia,2019,13760
Estonia,2020,11314
Estonia,2021,10368
Estonia,2022,10445
Finland,2014,63343
Finland,2015,57203
Finland,2016,51298
Finland,2017,46062
Finland,2018,41728
Finland,2019,38104
Finland,2020,34168
Finland,2021,30776
Finland,2022,24600
France,2014,513839
France,2015,503381
France,2016,509435
France,2017,482458
France,2018,458363
France,2019,433513
France,2020,336250
France,2021,381054
France,2022,344232
Germany,2014,1304746
Germany,2015,1275432
Germany,2016,1258411
Germany,2017,1238743
Germany,2018,1154614
Germany,2019,1102920
Germany,2020,878633
Germany,2021,866682
Germany,2022,834967
Greece,2014,138710
Greece,2015,118395
Greece,2016,98765
Greece,2017,103796
Greece,2018,96397
Greece,2019,90633
Greece,2020,74882
Greece,2021,77065
Greece,2022,63355
Hungary,2014,125650
Hungary,2015,89410
Hungary,2016,84782
Hungary,2017,81502
Hungary,2018,77109
Hungary,2019,89103
Hungary,2020,75005
Hungary,2021,76511
Hungary,2022,65558
Ireland,2014,64048
Ireland,2015,60391
Ireland,2016,54865
Ireland,2017,46051
Ireland,2018,40797
Ireland,2019,36429
Ireland,2020,26559
Ireland,2021,26224
Ireland,2022,17930
Italy,2014,505824
Italy,2015,497995
Italy,2016,470232
Italy,2017,463999
Italy,2018,451998
Italy,2019,467470
Italy,2020,340085
Italy,2021,407852
Italy,2022,370558
Latvia,2014,18611
Latvia,2015,16577
Latvia,2016,15645
Latvia,2017,14697
Latvia,2018,13663
Latvia,2019,12940
Latvia,2020,11686
Latvia,2021,11552
Latvia,2022,9974
Lithuania,2014,23783
Lithuania,2015,22280
Lithuania,2016,22081
Lithuania,2017,19987
Lithuania,2018,19386
Lithuania,2019,18253
Lithuania,2020,16368
Lithuania,2021,15649
Lithuania,2022,14442
Luxembourg,2014,19305
Luxembourg,2015,17874
Luxembourg,2016,16123
Luxembourg,2017,14634
Luxembourg,2018,14119
Luxembourg,2019,12978
Luxembourg,2020,8948
Luxembourg,2021,9219
Luxembourg,2022,7444
Malta,2014,9060
Malta,2015,8971
Malta,2016,8548
Malta,2017,8414
Malta,2018,7040
Malta,2019,6822
Malta,2020,5261
Malta,2021,5455
Malta,2022,4750
Netherlands,2014,265422
Netherlands,2015,263066
Netherlands,2016,252855
Netherlands,2017,258683
Netherlands,2018,245108
Netherlands,2019,231639
Netherlands,2020,182911
Netherlands,2021,174268
Netherlands,2022,174454
Poland,2014,449473
Poland,2015,457981
Poland,2016,485638
Poland,2017,518131
Poland,2018,350917
Poland,2019,378282
Poland,2020,325442
Poland,2021,333130
Poland,2022,307033
Portugal,2014,109387
Portugal,2015,106711
Portugal,2016,100888
Portugal,2017,96000
Portugal,2018,90664
Portugal,2019,87309
Portugal,2020,67095
Portugal,2021,69739
Portugal,2022,63026
Romania,2014,140663
Romania,2015,129194
Romania,2016,133324
Romania,2017,133609
Romania,2018,127281
Romania,2019,121776
Romania,2020,120749
Romania,2021,140041
Romania,2022,126139
Slovakia,2014,36475
Slovakia,2015,37523
Slovakia,2016,28218
Slovakia,2017,37118
Slovakia,2018,26197
Slovakia,2019,25704
Slovakia,2020,24276
Slovakia,2021,23376
Slovakia,2022,20411
Slovenia,2014,28905
Slovenia,2015,27929
Slovenia,2016,28030
Slovenia,2017,26431
Slovenia,2018,25006
Slovenia,2019,23056
Slovenia,2020,17212
Slovenia,2021,19359
Slovenia,2022,17165
Spain,2014,304654
Spain,2015,299347
Spain,2016,295362
Spain,2017,291721
Spain,2018,297774
Spain,2019,294283
Spain,2020,230997
Spain,2021,262881
Spain,2022,250805
Sweden,2014,107653
Sweden,2015,103999
Sweden,2016,105145
Sweden,2017,100282
Sweden,2018,93503
Sweden,2019,85806
Sweden,2020,74692
Sweden,2021,70450
Sweden,2022,67419
