COUNTRY,YEAR,INDEX,VALUE
Austria,2014,Cost of Living,89.5
Austria,2014,Pollution,31.7
Austria,2014,Purchasing Power,91.5
Austria,2014,Quality of Life,171.8
Austria,2014,Traffic Commute Time,24.5
Austria,2015,Cost of Living,76.9
Austria,2015,Pollution,34.0
Austria,2015,Purchasing Power,104.6
Austria,2015,Quality of Life,182.6
Austria,2015,Traffic Commute Time,25.9
Austria,2016,Cost of Living,66.6
Austria,2016,Pollution,30.8
Austria,2016,Purchasing Power,120.5
Austria,2016,Quality of Life,192.4
Austria,2016,Traffic Commute Time,26.8
Austria,2017,Cost of Living,71.5
Austria,2017,Pollution,21.9
Austria,2017,Purchasing Power,95.7
Austria,2017,Quality of Life,190.4
Austria,2017,Traffic Commute Time,26.3
Austria,2018,Cost of Living,81.5
Austria,2018,Pollution,22.9
Austria,2018,Purchasing Power,98.7
Austria,2018,Quality of Life,190.2
Austria,2018,Traffic Commute Time,27.0
Austria,2019,Cost of Living,71.8
Austria,2019,Pollution,22.0
Austria,2019,Purchasing Power,96.7
Austria,2019,Quality of Life,191.1
Austria,2019,Traffic Commute Time,25.2
Austria,2020,Cost of Living,70.4
Austria,2020,Pollution,22.2
Austria,2020,Purchasing Power,82.4
Austria,2020,Quality of Life,182.5
Austria,2020,Traffic Commute Time,26.3
Austria,2021,Cost of Living,75.5
Austria,2021,Pollution,19.2
Austria,2021,Purchasing Power,78.2
Austria,2021,Quality of Life,182.4
Austria,2021,Traffic Commute Time,25.7
Austria,2022,Cost of Living,71.0
Austria,2022,Pollution,21.7
Austria,2022,Purchasing Power,77.3
Austria,2022,Quality of Life,179.2
Austria,2022,Traffic Commute Time,25.5
Belgium,2014,Cost of Living,100.0
Belgium,2014,Pollution,56.2
Belgium,2014,Purchasing Power,87.9
Belgium,2014,Quality of Life,134.7
Belgium,2014,Traffic Commute Time,26.0
Belgium,2015,Cost of Living,87.2
Belgium,2015,Pollution,53.8
Belgium,2015,Purchasing Power,86.2
Belgium,2015,Quality of Life,136.0
Belgium,2015,Traffic Commute Time,26.7
