COUNTRY,YEAR,VEHICLE,FUEL,UNITS
Austria,2014,Executive Cars,Alternative,5
Austria,2014,Executive Cars,Diesel,5276
Austria,2014,Executive Cars,Electric,0
Austria,2014,Executive Cars,Hybrid,244
Austria,2014,Executive Cars,Petrol,559
Austria,2014,Large Cars,Alternative,33
Austria,2014,Large Cars,Diesel,19543
Austria,2014,Large Cars,Electric,0
Austria,2014,Large Cars,Hybrid,104
Austria,2014,Large Cars,Petrol,2410
Austria,2014,Luxury Cars,Alternative,0
Austria,2014,Luxury Cars,Diesel,453
Austria,2014,Luxury Cars,Electric,0
Austria,2014,Luxury Cars,Hybrid,2
Austria,2014,Luxury Cars,Petrol,365
Austria,2014,Medium Cars,Alternative,272
Austria,2014,Medium Cars,Diesel,43434
Austria,2014,Medium Cars,Electric,140
Austria,2014,Medium Cars,Hybrid,103
Austria,2014,Medium Cars,Petrol,29581
Austria,2014,Mini Cars,Alternative,236
Austria,2014,Mini Cars,Diesel,1748
Austria,2014,Mini Cars,Electric,312
Austria,2014,Mini Cars,Hybrid,0
Austria,2014,Mini Cars,Petrol,11826
Austria,2014,Minivans,Alternative,80
Austria,2014,Minivans,Diesel,30830
Austria,2014,Minivans,Electric,13
Austria,2014,Minivans,Hybrid,0
Austria,2014,Minivans,Petrol,11437
Austria,2014,SUVs,Alternative,7
Austria,2014,SUVs,Diesel,54029
Austria,2014,SUVs,Electric,0
Austria,2014,SUVs,Hybrid,78
Austria,2014,SUVs,Petrol,16709
Austria,2014,Small Cars,Alternative,12
Austria,2014,Small Cars,Diesel,8066
Austria,2014,Small Cars,Electric,682
Austria,2014,Small Cars,Hybrid,93
Austria,2014,Small Cars,Petrol,53146
Austria,2014,Sports Cars,Alternative,0
Austria,2014,Sports Cars,Diesel,315
Austria,2014,Sports Cars,Electric,135
Austria,2014,Sports Cars,Hybrid,60
Austria,2014,Sports Cars,Petrol,1311
Austria,2015,Executive Cars,Alternative,1
Austria,2015,Executive Cars,Diesel,5087
